Продукт,Старая цена,Новая цена,Процент скидки,Время акции
"Конфеты MILKA молочный шоколад с клубничной начинкой, 110г",299.99,189.99,-37%,С 2023-12-01 по 2024-01-09
"Набор конфет Символ года Дракончик, 150г",139.99,89.99,-36%,С 2023-12-01 по 2024-01-09
"Набор конфет СКРЕПЫШИ Стикерсы с подарком внутри, 300г",199.99,149.99,-25%,С 2023-12-01 по 2024-01-09
"Рюкзак с конфетами, 330г",549.99,449.99,-18%,С 2023-12-01 по 2024-01-09
"Сумка для сменки СКРЕПЫШИ Стикерсы с конфетами, 315г",329.99,249.99,-24%,С 2023-12-01 по 2024-01-09
"Набор конфет с подарком внутри Чебурашка, 150г",199.99,149.99,-25%,С 2023-12-01 по 2024-01-09
"Набор сладостей ZOMBAKI с подарком внутри, 150г",299.99,229.99,-23%,С 2023-12-01 по 2024-01-09
"Конфеты BOUNTY Minis Mix, 220г",429.99,299.99,-30%,С 2023-12-01 по 2024-01-09
Блендерный набор RED Magnum RHB-299,2999.0,999.0,-67%,С 2023-11-13 по 2023-12-31
Мультиварка RED Magnum RMC-М521,3999.0,1999.0,-50%,С 2023-11-13 по 2023-12-31
Чайник RED Magnum электрический стеклянный RK-G19,1999.0,999.0,-50%,С 2023-11-13 по 2023-12-31
Пылесос-робот RED Magnum RV-R56S,6499.0,3999.0,-38%,С 2023-11-13 по 2023-12-31
Гриль RED Magnum RGM-M82,5499.0,2999.0,-45%,С 2023-11-13 по 2023-12-31
Электроштопор RED Magnum RKA-WO11,999.0,599.0,-40%,С 2023-11-13 по 2023-12-31
"Дезодорант OLD SPICE®, Вайт Вотер, твердый, 50мл",486.99,299.99,-38%,С 2023-09-20 по 2023-12-31
"Какао-напиток ХРУТКА, 500г",296.99,219.99,-26%,С 2023-11-15 по 2023-12-12
"Чизкейк ROCKNCREAM Нью-Йорк классический, 70г",113.99,79.99,-30%,С 2023-10-10 по 2023-12-31
"Трусики-подгузники HUGGIES унисекс 4 (9-14кг), 38шт.",1776.99,899.99,-49%,С 2023-11-15 по 2023-12-12
"Кофе EGOISTE Вельвет, молотый, 200г",661.99,479.99,-27%,С 2023-11-15 по 2023-12-12
"Мешки для мусора НУЖНЫЕ ВЕЩИ Магнит 35л, 30шт.",130.0,86.66,,С 2023-11-15 по 2023-12-12
"Туалетная бумага AURA Влажная, 42шт.",149.8,74.9,,С 2023-11-15 по 2023-12-12
"Щетка зубная ORAL-B®, 1-2-3, Средней жесткости, 1штука",95.99,69.99,-27%,С 2023-09-20 по 2023-12-31
